WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,NE,1,3,0,0,3,3,0,0,0,2,3,0,2,2,0,0,0
2,TB,1,5,2,0,4,5,0,0,0,1,0,0,1,1,0,0,0
3,BUF,-1,2,1,1,1,1,0,1,0,4,2,0,3,4,0,0,0
4,LA,1,1,2,0,1,1,0,0,0,2,1,0,2,2,0,0,0
5,SF,-1,4,1,1,4,4,0,0,0,3,0,0,3,3,0,0,0
6,NYJ,1,4,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0
7,SEA,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
8,CAR,-1,3,0,0,2,2,0,1,0,3,3,0,3,3,0,0,0
10,SF,1,2,3,0,2,2,0,0,0,2,2,0,2,2,0,0,0
11,MIN,-1,3,1,0,3,3,0,0,0,4,1,0,3,4,0,0,0
12,ATL,-1,2,2,0,1,1,0,1,0,5,1,0,5,5,0,0,0
13,WAS,-1,4,1,0,4,4,0,0,0,2,3,0,2,2,0,0,0
14,MIA,-1,3,1,0,0,2,1,1,0,3,1,0,3,3,0,0,1
15,NO,1,6,0,0,5,6,0,0,0,6,2,0,6,6,0,0,0
16,SEA,-1,4,2,0,4,4,0,0,0,4,1,0,2,3,1,1,0
17,LA,-1,5,3,0,5,5,0,0,0,0,2,0,0,0,0,0,0
