WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,TB,1,2,3,0,1,1,1,1,0,4,1,0,4,4,0,0,0
2,OAK,-1,4,2,0,3,3,1,1,0,4,0,0,4,4,0,0,0
3,NO,-1,6,1,0,6,6,0,0,0,4,1,0,3,3,1,1,0
4,CAR,1,6,2,0,6,6,0,0,0,4,1,0,2,2,2,2,0
5,DEN,-1,2,3,0,2,2,0,0,0,1,3,0,1,1,0,0,0
6,SEA,-1,3,1,0,3,3,0,0,0,3,2,0,2,3,0,0,0
7,SD,1,3,3,0,3,3,0,0,0,3,4,0,3,3,0,0,0
8,GB,1,4,2,0,3,3,0,1,0,4,1,0,3,3,1,1,0
9,TB,-1,5,3,0,4,4,0,1,0,4,0,0,2,2,1,2,0
10,PHI,-1,1,3,0,0,1,0,0,0,2,3,0,1,1,1,1,0
12,ARI,1,5,1,0,5,5,0,0,0,2,2,0,1,1,0,1,0
13,KC,1,3,3,0,1,1,0,2,0,4,0,0,3,4,0,0,1
14,LA,-1,6,0,0,6,6,0,0,0,2,0,0,2,2,0,0,0
15,SF,1,5,2,0,5,5,0,0,0,2,0,0,1,2,0,0,0
16,CAR,-1,3,4,0,3,3,0,0,0,1,3,0,1,1,0,0,0
