WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,BUF,1,1,2,0,1,1,0,0,0,1,0,0,1,1,0,0,0
2,CLE,-1,2,3,0,2,2,0,0,1,3,0,0,2,3,0,0,0
3,JAX,-1,1,4,0,1,1,0,0,0,2,1,0,2,2,0,0,0
4,OAK,1,3,2,0,1,1,1,2,0,4,0,0,4,4,0,0,0
5,WAS,1,1,1,0,1,1,0,0,0,2,1,0,1,2,0,0,0
6,NYG,-1,2,3,0,2,2,0,0,0,3,2,0,3,3,0,0,0
7,NYJ,-1,1,3,0,1,1,0,0,0,3,1,0,3,3,0,0,0
8,PIT,1,2,2,0,1,1,1,1,0,2,0,0,2,2,0,0,0
9,CLE,1,3,2,0,2,2,1,1,0,1,0,0,1,1,0,0,0
11,DAL,-1,2,1,0,2,2,0,0,0,3,2,0,3,3,0,0,0
12,CIN,1,1,4,0,1,1,0,0,0,1,2,1,0,1,0,0,0
13,MIA,1,5,1,0,5,5,0,0,0,1,0,0,0,0,0,1,0
14,NE,-1,2,3,0,2,2,0,0,0,4,0,1,4,4,0,0,0
15,PHI,1,3,2,0,3,3,0,0,0,2,4,0,0,0,1,2,0
16,PIT,-1,2,4,0,1,1,1,1,0,4,1,0,4,4,0,0,0
17,CIN,-1,1,1,0,1,1,0,0,0,3,2,0,3,3,0,0,0
