WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,HOU,-1,2,0,0,2,2,0,0,0,2,3,0,2,2,0,0,0
2,PHI,1,2,0,0,2,2,0,0,0,3,3,0,2,3,0,0,0
3,DAL,-1,2,1,0,2,2,0,0,0,4,1,0,4,4,0,0,0
4,DET,1,2,1,0,2,2,0,0,0,1,2,0,0,0,1,1,0
5,IND,-1,2,3,0,2,2,0,0,0,2,5,0,2,2,0,0,0
6,JAX,1,1,3,0,1,1,0,0,0,2,1,0,2,2,0,0,0
7,GB,-1,1,1,0,1,1,0,0,0,3,2,0,2,3,0,0,0
8,MIN,1,2,2,0,2,2,0,0,0,1,1,0,1,1,0,0,0
10,TB,-1,1,1,0,1,1,0,0,0,4,2,1,4,4,0,0,0
11,NYG,-1,2,1,0,1,2,0,0,0,3,1,0,1,3,0,0,0
12,TEN,1,3,0,0,3,3,0,0,0,3,2,0,3,3,0,0,0
13,SF,1,3,1,1,3,3,0,0,0,0,2,0,0,0,0,0,0
14,DET,-1,2,1,0,2,2,0,0,0,2,2,0,2,2,0,0,0
15,GB,1,3,2,0,3,3,0,0,0,3,3,0,3,3,0,0,0
16,WAS,1,3,0,0,3,3,0,0,0,5,2,0,5,5,0,0,0
