WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,NYJ,-1,2,3,0,2,2,0,0,0,2,3,0,1,2,0,0,0
2,PIT,-1,1,3,0,1,1,0,0,0,3,1,0,3,3,0,0,0
3,DEN,1,2,1,0,2,2,0,0,0,4,1,0,2,3,0,1,0
4,MIA,1,1,5,0,1,1,0,0,0,1,0,0,1,1,0,0,0
5,DAL,-1,2,0,0,2,2,0,0,0,4,0,0,4,4,0,0,0
6,NE,-1,2,1,0,2,2,0,0,0,3,2,1,3,4,0,0,0
7,CLE,1,4,1,0,4,4,0,0,0,2,1,0,2,2,0,0,0
8,WAS,0,3,2,0,3,3,0,0,0,4,0,0,3,4,0,0,0
10,NYG,-1,2,2,0,2,2,0,0,0,3,0,0,3,3,0,0,0
11,BUF,1,2,0,0,0,2,0,0,0,1,3,0,1,1,0,0,0
12,BAL,-1,1,2,1,0,1,0,0,0,1,4,0,1,1,0,0,0
13,PHI,1,3,4,0,2,3,0,0,0,2,0,0,2,2,0,0,0
14,CLE,-1,3,1,0,2,3,0,0,0,1,1,0,1,1,0,0,0
