WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,PHI,-1,1,1,0,1,1,0,0,0,3,2,1,3,3,0,0,0
2,BAL,1,3,0,0,2,3,0,0,0,2,3,0,2,2,0,0,1
3,MIA,-1,2,3,0,1,1,1,1,0,4,1,0,3,3,0,0,0
4,WAS,-1,2,2,0,2,2,0,0,0,4,1,0,4,4,0,0,0
5,NE,1,2,0,0,1,1,0,1,0,4,1,1,4,4,0,0,0
6,TEN,-1,3,2,0,2,2,0,1,0,4,0,4,4,0,0,0,0
7,CIN,-1,2,1,0,2,2,0,0,0,4,1,0,4,4,0,0,0
8,NYJ,1,3,2,0,2,2,1,1,0,4,1,0,4,4,0,0,0
9,DAL,-1,1,1,0,1,1,0,0,0,5,0,0,5,5,0,0,0
10,BAL,-1,1,0,0,1,1,0,0,0,3,2,0,2,2,1,1,0
11,PIT,1,1,0,0,0,1,0,0,0,2,3,0,1,1,1,1,0
12,NYG,1,1,2,0,1,1,0,0,0,4,0,0,3,4,0,0,0
14,CIN,1,1,1,0,1,1,0,0,0,3,1,0,2,3,0,0,0
