WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,IND,-1,5,1,1,4,5,0,0,0,2,4,0,3,3,1,1,0
2,TEN,1,1,2,1,1,1,0,0,0,2,1,0,1,1,0,1,0
3,GB,-1,3,2,0,3,3,0,0,0,4,2,0,4,4,0,0,0
4,CHI,-1,1,2,0,0,0,1,1,0,2,1,0,2,2,0,0,0
5,PHI,1,3,1,0,3,3,0,0,0,2,3,0,2,2,0,0,0
6,LA,1,4,1,0,4,4,0,0,0,4,0,0,4,4,0,0,0
7,WAS,1,2,2,0,2,2,0,0,0,2,1,0,2,2,0,0,0
8,HOU,-1,1,2,0,1,1,0,0,0,2,2,0,2,2,0,0,0
9,MIN,-1,2,3,0,1,1,0,0,0,2,1,0,1,2,0,0,0
11,JAX,1,3,2,0,2,3,0,0,0,2,2,0,1,2,0,0,0
12,MIN,1,1,3,0,1,1,0,0,0,1,2,0,1,1,0,0,0
13,NO,-1,1,5,0,1,1,0,1,0,1,2,0,1,1,0,0,0
14,CHI,1,2,2,0,2,2,0,0,0,2,1,0,2,2,0,0,0
15,NYG,-1,0,2,0,0,0,0,0,0,2,1,0,2,2,0,0,0
