WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,CHI,1,2,3,0,2,2,0,0,0,2,0,0,2,2,0,0,0
2,KC,1,1,4,0,1,1,0,0,0,0,4,0,0,0,0,0,0
3,NE,-1,0,0,0,0,0,0,0,0,3,2,0,3,3,0,0,0
4,TEN,1,3,2,0,3,3,0,0,0,2,2,0,2,2,0,0,0
5,MIN,-1,4,1,0,4,4,0,0,0,1,2,0,1,1,0,0,0
6,IND,1,3,2,0,2,3,0,0,0,2,3,0,2,2,0,0,0
7,DEN,-1,0,3,0,0,0,0,0,0,3,2,0,3,3,0,0,0
8,DET,1,2,2,0,2,2,0,0,0,1,2,0,1,1,0,0,0
10,JAX,-1,3,1,0,3,3,0,0,0,2,2,0,1,1,1,1,0
11,OAK,0,2,2,0,2,2,0,0,0,3,2,0,3,3,0,0,0
12,HOU,1,1,2,0,1,1,0,0,0,3,0,0,3,3,0,0,0
13,GB,-1,2,0,0,1,2,0,0,0,3,0,0,3,3,0,0,0
14,IND,-1,1,5,0,1,1,0,0,0,2,1,0,2,2,0,0,0
15,JAX,1,1,4,1,1,1,0,0,0,2,2,0,2,2,0,0,0
