WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,GB,1,2,3,0,2,2,0,0,0,3,2,0,3,3,0,0,0
2,SD,-1,2,0,0,2,2,0,0,0,5,1,0,5,5,0,0,0
3,BAL,1,2,1,0,2,2,0,0,0,1,4,0,1,1,0,0,0
4,IND,0,3,3,0,3,3,0,0,0,3,2,0,3,3,0,0,0
6,CHI,-1,2,1,0,2,2,0,0,0,1,3,0,1,1,0,0,0
7,OAK,1,1,3,0,1,1,0,0,0,3,4,0,3,3,0,0,0
8,TEN,-1,3,0,0,1,1,2,2,0,4,3,0,3,4,0,0,0
9,KC,-1,2,0,0,2,2,0,0,0,1,4,0,1,1,0,0,0
10,HOU,1,2,2,0,1,1,1,1,0,3,1,0,3,3,0,0,0
11,DET,-1,2,2,0,1,2,0,0,0,3,2,0,2,3,0,0,0
12,BUF,-1,3,0,0,3,3,0,0,0,4,0,0,2,3,1,1,0
13,DEN,-1,1,1,0,1,1,0,0,0,2,2,0,2,2,0,0,0
14,MIN,1,1,3,0,1,1,0,0,0,2,4,0,1,2,0,0,0
15,HOU,-1,2,2,0,2,2,0,0,0,1,4,1,1,1,0,0,0
16,TEN,1,4,4,0,2,4,0,0,0,2,1,0,2,2,0,0,0
17,IND,-1,2,2,0,2,2,0,0,0,3,1,0,3,3,0,0,0
