WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,SF,-1,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0
2,SEA,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,TB,-1,5,1,0,4,4,0,1,0,5,0,0,2,3,0,2,0
4,ARI,-1,2,1,0,2,2,0,0,0,1,2,0,1,1,0,0,0
5,BUF,1,1,4,0,1,1,0,0,0,4,1,0,3,4,0,0,0
6,DET,-1,4,0,0,4,4,0,0,0,4,1,0,4,4,0,0,0
7,NYG,0,1,1,0,1,1,0,0,0,2,1,0,2,2,0,0,0
8,CAR,1,1,1,0,1,1,0,0,0,1,2,0,1,1,0,0,0
10,NYJ,-1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,MIA,1,1,0,0,1,1,0,0,0,2,0,0,2,2,0,0,0
12,NO,-1,3,0,0,3,3,0,0,0,7,0,0,7,7,0,0,0
13,NE,-1,1,1,0,1,1,0,0,0,2,4,0,2,2,0,0,0
14,ATL,1,2,0,0,2,2,0,0,0,6,0,0,6,6,0,0,0
15,SEA,-1,0,1,0,0,0,0,0,0,3,1,0,3,3,0,0,0
16,SF,1,3,0,0,3,3,0,0,0,3,0,0,2,2,1,1,0
