WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,TEN,-1,2,4,0,1,2,0,0,0,2,1,0,1,1,0,1,0
2,GB,1,2,1,0,2,2,0,0,0,2,0,0,2,2,0,0,0
3,CAR,-1,2,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0
4,NYG,1,3,1,0,3,3,0,0,0,1,1,0,1,1,0,0,0
5,HOU,1,4,1,0,4,4,0,0,0,1,2,0,1,1,0,0,0
7,PHI,-1,1,1,0,1,1,0,0,0,2,2,0,1,1,1,1,0
8,CHI,-1,1,1,0,1,1,0,0,0,2,2,0,2,2,0,0,0
9,DET,1,2,1,0,1,2,0,0,0,2,3,0,1,1,0,0,0
10,WAS,-1,3,0,0,2,3,0,0,0,2,4,0,2,2,0,0,0
11,ARI,1,4,1,0,3,4,0,0,0,3,1,0,3,3,0,0,0
12,DET,-1,1,2,0,1,1,0,0,0,1,3,0,1,1,0,0,0
13,DAL,1,1,3,0,0,0,0,1,0,2,1,0,2,2,0,0,0
14,JAX,-1,2,4,0,1,2,0,0,0,1,3,0,1,1,0,0,0
15,IND,1,0,2,0,0,0,0,0,0,4,2,0,4,4,0,0,0
16,GB,-1,3,2,0,1,2,0,1,0,5,1,0,5,5,0,0,0
