WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,ARI,-1,2,3,0,2,2,0,0,0,3,0,0,3,3,0,0,0
2,MIA,1,4,1,0,4,4,0,0,0,3,1,0,3,3,0,0,0
3,HOU,1,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
4,BUF,1,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0
5,CLE,-1,4,1,1,4,4,0,0,0,2,0,0,1,1,0,1,0
6,CIN,1,3,2,1,3,4,0,0,0,2,1,0,2,2,0,0,0
7,PIT,-1,4,0,0,3,4,0,0,0,1,3,0,1,1,0,0,0
8,BUF,-1,5,2,0,5,5,0,0,0,3,1,0,2,2,1,1,0
10,SEA,1,3,1,0,3,3,0,0,0,3,4,0,1,2,0,1,0
11,SF,-1,4,1,0,3,4,0,0,0,2,1,0,2,2,0,0,0
12,NYJ,-1,2,3,0,1,1,0,1,0,2,1,0,2,2,0,0,0
13,LA,1,2,4,0,2,2,0,0,0,1,1,0,1,1,0,0,0
14,BAL,1,4,0,1,4,4,0,0,0,2,3,0,2,2,0,0,0
15,DEN,-1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0
16,NYJ,1,0,1,0,0,0,0,0,0,5,2,0,5,5,0,0,0
17,MIA,-1,4,2,0,3,3,1,1,0,2,0,0,2,2,0,0,0
