WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,CIN,1,2,3,0,1,2,0,0,0,2,3,0,2,2,0,0,0
2,BUF,-1,4,3,0,4,4,0,0,0,4,1,0,4,4,0,0,0
3,KC,-1,0,1,0,0,0,0,0,0,3,1,0,3,3,0,0,0
4,SEA,1,2,1,0,2,2,0,0,0,3,2,0,3,3,0,0,0
5,PIT,-1,1,2,0,1,1,0,0,0,4,1,0,4,4,0,0,0
6,ARI,-1,0,1,0,0,0,0,0,0,4,0,0,4,4,0,0,0
7,BAL,1,3,1,0,3,3,0,0,0,1,3,0,1,1,0,0,0
8,CLE,-1,4,1,0,4,4,0,0,0,3,2,0,2,2,1,1,0
9,MIA,-1,2,3,0,2,2,0,0,0,3,2,0,3,3,0,0,0
10,LA,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
12,NE,1,2,1,0,2,2,0,0,0,2,3,0,1,1,0,1,0
13,IND,1,1,1,0,1,1,0,0,0,5,2,0,5,5,0,0,0
14,SF,-1,2,3,0,0,0,1,1,0,2,1,0,2,2,0,0,0
15,MIA,1,1,2,0,1,1,0,0,0,5,0,0,4,5,0,0,0
16,NE,-1,0,1,0,0,0,0,0,0,5,2,0,5,5,0,0,0
