WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,NO,-1,4,2,0,1,1,2,3,0,4,2,0,4,4,0,0,0
2,ATL,1,4,0,0,4,4,0,0,0,4,2,0,3,3,1,1,0
3,TEN,-1,2,1,0,2,2,0,0,0,1,1,0,1,1,0,0,0
4,BAL,-1,4,0,0,4,4,0,0,0,3,2,0,1,1,1,2,0
5,SD,1,3,4,0,2,2,1,1,0,4,1,0,4,4,0,0,0
6,KC,1,1,1,0,1,1,0,0,0,3,2,0,2,3,0,0,0
7,JAX,-1,3,4,0,3,3,0,0,0,1,3,0,1,1,0,0,0
8,TB,-1,4,1,0,3,3,0,0,0,3,1,0,1,2,1,1,0
9,DEN,1,3,3,0,3,3,0,0,0,2,2,0,2,2,0,0,0
11,HOU,-1,3,2,0,3,3,0,0,0,2,2,0,2,2,0,0,0
12,CAR,1,4,2,0,3,3,1,1,0,5,0,0,2,3,0,2,0
13,BUF,1,4,3,0,3,3,1,1,0,3,1,0,3,3,0,0,0
