WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,KC,-1,3,2,0,3,3,0,0,0,4,2,0,3,3,0,0,0
2,JAX,1,5,1,0,5,5,0,0,0,2,0,0,2,2,0,0,0
3,IND,-1,2,3,0,1,2,0,0,0,3,2,0,2,2,0,1,0
4,NO,1,4,2,0,4,4,0,0,0,5,0,0,5,5,0,0,0
5,OAK,-1,4,1,0,4,4,0,0,0,3,4,0,2,2,1,1,0
6,DEN,1,1,4,0,1,1,0,0,0,1,2,0,1,1,0,0,0
7,ATL,-1,3,4,0,3,3,0,0,0,3,3,0,3,3,0,0,0
8,DEN,-1,3,0,0,1,2,0,1,0,3,2,0,3,3,0,0,0
9,TEN,1,5,3,0,4,5,0,0,0,5,0,0,5,5,0,0,0
10,MIA,1,3,1,0,3,3,0,0,0,4,1,0,4,4,0,0,0
12,HOU,-1,3,0,0,3,3,0,0,0,1,2,0,1,1,0,0,0
