WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,MIA,1,1,2,0,0,1,0,0,0,1,1,0,1,1,0,0,0
2,LA,-1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
3,SF,1,4,3,0,4,4,0,0,0,2,1,0,1,1,1,1,0
4,NYJ,-1,3,2,0,3,3,0,0,0,2,1,0,2,2,0,0,0
6,ATL,1,3,2,0,2,3,0,0,0,3,1,0,3,3,0,0,0
7,ARI,-1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
8,NO,-1,2,2,0,2,2,0,0,0,2,4,0,1,1,0,1,0
9,BUF,1,4,1,0,4,4,0,0,0,3,1,0,2,2,1,1,0
10,NE,-1,3,4,0,1,2,0,1,0,3,1,0,3,3,0,0,0
11,PHI,1,3,2,0,2,3,0,0,0,2,0,0,1,1,1,1,10
12,TB,-1,0,1,1,0,0,0,0,0,2,0,0,2,2,0,0,0
13,CAR,1,4,4,0,4,4,0,0,0,1,0,0,1,1,0,0,0
14,GB,-1,1,1,0,1,1,0,0,0,5,1,0,5,5,0,0,0
