WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,ATL,-1,4,1,0,4,4,0,0,0,2,3,0,1,1,1,1,0
2,ARI,-1,1,0,0,1,1,0,0,0,5,2,0,4,5,0,0,0
3,LA,1,5,0,0,2,3,0,2,0,5,1,0,4,4,0,1,0
4,DEN,1,1,0,0,1,1,0,0,0,3,2,0,3,3,0,0,0
5,CAR,-1,1,3,0,0,0,1,1,0,2,0,0,2,2,0,0,0
7,SF,-1,4,2,0,4,4,0,0,0,2,1,0,2,2,0,0,0
8,OAK,1,3,1,0,1,2,1,1,0,4,1,0,3,3,0,0,0
9,ATL,1,4,0,0,2,2,1,2,0,5,3,0,4,4,0,1,0
10,CHI,-1,4,2,1,4,4,0,0,0,1,1,0,1,1,0,0,0
11,KC,-1,1,4,0,1,1,0,0,0,2,1,0,2,2,0,0,0
12,SEA,1,2,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0
