WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,MIN,1,2,1,0,1,1,0,1,0,2,4,0,1,2,0,0,0
2,DET,-1,2,1,0,1,1,0,1,0,1,2,1,1,1,0,0,0
3,OAK,1,1,1,0,1,1,0,0,0,2,1,0,2,2,0,0,0
4,HOU,-1,2,2,0,2,2,0,0,0,3,2,0,3,3,0,0,0
5,MIA,-1,4,1,0,3,4,0,0,0,2,1,0,2,2,0,0,0
6,CLE,1,4,0,0,4,4,0,0,0,3,2,0,2,2,0,1,0
7,IND,1,3,2,0,2,2,0,1,0,4,2,0,4,4,0,0,0
8,JAX,1,4,3,0,3,4,0,0,0,3,0,0,2,2,1,1,0
9,SD,-1,5,0,0,5,5,0,0,0,5,3,0,4,5,0,0,0
10,GB,-1,5,2,0,5,5,0,1,0,3,2,0,1,2,0,1,0
