WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,PIT,1,1,3,0,1,1,0,0,0,5,1,0,5,5,0,0,0
2,DAL,1,2,3,0,2,2,0,0,0,3,2,0,3,3,0,0,0
3,NYG,-1,2,5,0,2,2,0,0,0,3,2,0,3,3,0,0,0
4,CLE,1,4,1,0,4,4,0,0,0,2,2,0,2,2,0,0,0
5,BAL,-1,2,1,0,1,2,0,0,0,1,1,0,1,1,0,0,0
6,PHI,1,3,2,0,3,3,0,0,0,2,2,0,2,2,0,0,0
7,DET,-1,2,1,0,2,2,0,0,0,2,2,0,2,2,0,0,0
8,CIN,0,4,0,0,3,4,0,0,0,3,2,0,3,3,0,0,0
10,MIN,1,2,4,0,2,2,0,0,0,3,0,0,2,3,0,0,0
11,GB,1,6,1,0,3,4,0,2,0,3,1,0,3,3,0,0,0
12,DAL,-1,3,2,0,2,2,0,1,0,4,1,0,4,4,0,0,0
13,ARI,-1,2,3,0,2,2,0,0,0,4,1,0,4,4,0,0,0
14,PHI,-1,4,0,0,3,3,0,1,0,2,3,0,1,1,0,1,0
