WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,WAS,ARI,1,0,0,0,0,0,1,0,3,1,0,3,3,0,0,0
2,LAR,LAR,0,0,0,0,0,0,0,0,4,1,0,1,1,3,3,0
3,CHI,ARI,2,0,0,2,2,0,0,0,1,3,0,1,1,0,0,0
4,SEA,ARI,2,1,0,2,2,0,0,0,2,2,0,2,2,0,0,0
5,SF,SF,4,0,0,4,4,0,0,0,3,0,0,0,0,0,3,0
6,MIN,MIN,2,1,0,2,2,0,0,0,3,2,0,3,3,0,0,0
7,DEN,DEN,1,1,0,1,1,0,0,0,6,1,0,6,6,0,0,0
8,SF,ARI,2,1,0,1,1,1,1,0,1,2,1,1,1,0,0,0
10,KC,KC,2,0,0,2,2,0,0,0,3,2,0,2,2,0,1,0
11,OAK,ARI,3,0,0,3,3,0,0,0,2,3,0,2,2,0,0,0
12,LAC,LAC,1,1,0,1,1,0,0,0,6,1,0,6,6,0,0,0
