WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,PHI,PHI,1,2,0,0,1,0,0,0,2,1,0,1,1,1,1,0
2,CAR,ATL,4,1,0,4,4,0,0,0,3,1,0,3,3,0,0,0
3,NO,ATL,5,0,0,3,3,2,2,0,5,3,0,4,4,0,0,0
4,CIN,ATL,4,3,0,3,3,0,1,0,5,1,0,4,4,0,1,0
5,PIT,PIT,2,1,0,2,2,0,0,0,6,0,0,5,6,0,0,0
6,TB,ATL,4,2,0,4,4,0,0,0,4,1,0,2,3,0,1,0
7,NYG,ATL,2,3,0,2,2,0,0,0,2,2,0,0,0,1,2,0
8,WAS,WAS,5,1,0,5,5,0,0,0,2,0,0,2,2,0,0,0
10,CLE,CLE,2,1,0,1,1,0,1,0,4,0,0,4,4,0,0,0
11,DAL,ATL,1,4,0,1,1,0,0,0,2,3,0,1,2,0,0,0
12,NO,NO,2,1,0,2,2,0,0,0,4,1,0,4,4,0,0,0
