WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,BUF,BAL,6,2,0,5,5,0,1,0,0,1,0,0,0,0,0,0
2,CIN,CIN,3,1,0,2,2,0,1,0,4,2,0,4,4,0,0,0
3,DEN,BAL,3,2,0,3,3,0,0,0,2,0,0,2,2,0,0,0
4,PIT,PIT,2,4,0,2,2,0,0,0,1,2,0,0,0,1,1,0
5,CLE,CLE,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0
6,TEN,TEN,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
7,NO,BAL,3,1,0,2,3,0,0,0,3,1,0,3,3,0,0,0
8,CAR,CAR,3,0,0,3,3,0,0,0,4,3,0,3,3,0,1,0
9,PIT,BAL,1,3,0,1,1,0,0,0,3,1,0,2,3,0,0,0
11,CIN,BAL,2,3,0,1,1,1,1,0,3,0,0,3,3,0,0,0
12,OAK,BAL,4,2,0,4,4,0,0,0,2,1,0,2,2,0,0,0
