WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,BAL,BAL,0,1,0,0,0,0,0,0,6,2,0,5,5,0,1,0
2,LAC,BUF,2,2,0,2,2,0,0,0,4,1,0,4,4,0,0,0
3,MIN,MIN,3,2,0,3,3,0,0,0,1,0,0,0,0,0,1,0
4,GB,GB,0,0,0,0,0,0,0,0,2,3,0,1,2,0,0,0
5,TEN,BUF,1,2,0,1,1,0,0,0,0,4,0,0,0,0,0,0
6,HOU,HOU,1,2,0,1,1,0,0,0,2,2,0,2,2,0,0,0
7,IND,IND,0,1,1,0,0,0,0,0,5,1,0,2,4,1,1,0
8,NE,BUF,0,2,0,0,0,0,0,0,2,4,0,1,1,0,1,0
9,CHI,BUF,1,1,0,0,0,0,1,0,5,2,0,5,5,0,0,0
10,NYJ,NYJ,5,2,0,5,5,0,0,0,1,1,0,1,1,0,0,0
12,JAX,BUF,3,1,0,3,3,0,0,0,3,0,0,3,3,0,0,0
13,MIA,MIA,2,1,0,0,1,1,1,0,3,0,0,3,3,0,0,0
14,NYJ,BUF,2,3,0,2,2,0,0,0,3,2,0,3,3,0,0,0
