WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,DAL,CAR,2,1,0,1,2,0,0,0,1,0,0,0,0,1,1,0
2,ATL,ATL,3,1,0,3,3,0,0,0,4,1,0,4,4,0,0,0
3,CIN,CAR,4,1,0,4,4,0,0,0,3,0,0,3,3,0,0,0
5,NYG,CAR,3,4,0,3,3,0,0,0,3,3,0,2,2,1,1,0
6,WAS,WAS,2,1,0,0,1,1,1,0,2,3,0,2,2,0,0,0
7,PHI,PHI,3,0,0,3,3,0,0,0,2,1,0,2,2,0,0,0
8,BAL,CAR,4,3,0,3,3,0,1,0,3,0,0,3,3,0,0,0
9,TB,CAR,6,0,0,6,6,0,0,0,4,0,0,4,4,0,0,0
10,PIT,PIT,3,0,0,3,3,0,0,0,7,1,0,7,7,0,0,0
11,DET,DET,3,0,0,1,2,0,1,0,2,2,0,2,2,0,0,0
12,SEA,CAR,3,2,0,3,3,0,0,0,3,3,0,3,3,0,0,0
13,TB,TB,2,1,0,2,2,0,0,0,3,1,0,3,3,0,0,0
14,CLE,CLE,2,2,0,2,2,0,0,0,3,2,0,2,3,0,0,0
15,NO,CAR,1,0,0,1,1,0,0,1,1,2,0,0,0,0,1,0
