WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,GB,GB,2,3,0,2,2,0,0,0,3,1,0,3,3,0,0,0
2,SEA,CHI,3,1,0,3,3,0,0,0,2,1,0,2,2,0,0,0
3,ARI,ARI,1,3,0,1,1,0,0,0,2,0,0,2,2,0,0,0
4,TB,CHI,6,2,0,6,6,0,0,0,1,1,0,1,1,0,0,0
5,MIA,MIA,4,0,0,4,4,0,0,0,3,3,0,2,2,1,1,0
7,NE,CHI,4,1,0,4,4,0,0,0,5,1,0,5,5,0,0,0
8,NYJ,CHI,3,1,0,3,3,0,0,0,1,1,0,1,1,0,0,0
9,BUF,BUF,5,2,0,5,5,0,0,0,1,1,0,0,0,0,1,0
10,DET,CHI,5,0,0,2,4,1,1,0,3,1,0,1,1,0,2,0
11,MIN,CHI,2,3,0,0,0,2,2,0,2,2,0,0,0,1,2,0
12,DET,DET,3,1,0,2,2,0,1,0,2,1,0,1,1,0,1,0
13,NYG,NYG,3,2,0,3,3,0,0,0,3,3,0,3,3,0,0,0
