WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,PIT,CLE,3,0,0,3,3,0,0,0,3,0,0,3,3,0,0,0
2,NO,NO,2,2,0,0,2,0,0,0,2,2,0,1,1,1,1,0
3,NYJ,CLE,2,2,0,1,1,1,1,0,2,1,0,2,2,0,0,0
4,OAK,OAK,5,2,0,2,2,2,3,0,5,3,0,4,4,1,1,0
5,BAL,CLE,1,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0
6,LAC,CLE,1,2,0,0,0,1,1,0,5,1,0,5,5,0,0,0
7,TB,TB,3,0,1,3,3,0,0,0,3,2,0,2,3,0,0,0
8,PIT,PIT,2,2,0,0,1,0,1,0,4,1,1,4,4,0,0,0
9,KC,CLE,3,1,0,0,0,0,3,0,5,1,0,4,5,0,0,0
10,ATL,CLE,4,0,0,4,4,0,0,0,2,1,0,1,1,0,1,0
12,CIN,CIN,5,0,0,5,5,0,0,0,3,0,0,2,3,0,0,0
13,HOU,HOU,2,0,0,1,1,0,1,0,2,5,0,2,2,0,0,0
14,CAR,CLE,3,2,0,2,3,0,0,0,2,2,0,2,2,0,0,0
15,DEN,DEN,2,1,0,2,2,0,0,0,1,3,0,1,1,0,0,0
16,CIN,CLE,3,2,0,2,3,0,0,0,2,1,0,1,1,1,1,0
