WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,CAR,CAR,1,1,0,0,0,1,1,0,2,1,0,1,2,0,0,0
2,NYG,DAL,2,2,0,2,2,0,0,0,1,2,0,1,1,0,0,0
3,SEA,SEA,1,2,0,1,1,0,0,0,3,1,0,3,3,0,0,0
4,DET,DAL,2,4,0,2,2,0,0,0,3,1,0,3,3,0,0,0
5,HOU,HOU,1,3,0,1,1,0,0,0,1,4,0,1,1,0,0,0
6,JAX,DAL,4,4,0,4,4,0,0,0,1,0,0,1,1,0,0,0
7,WAS,WAS,2,1,0,2,2,0,0,0,2,2,0,2,2,0,0,0
9,TEN,DAL,2,0,0,2,2,0,0,0,4,0,0,4,4,0,0,0
10,PHI,PHI,3,2,0,3,3,0,0,0,2,2,0,2,2,0,0,0
11,ATL,ATL,2,3,0,1,2,0,0,0,1,4,0,1,1,0,0,0
12,WAS,DAL,4,1,0,4,4,0,0,0,3,1,0,2,3,0,0,0
13,NO,DAL,1,2,0,1,1,0,0,0,1,1,0,1,1,0,0,0
14,PHI,DAL,3,3,0,2,2,0,0,0,3,1,0,2,3,0,0,0
15,IND,IND,0,0,0,0,0,0,0,0,2,3,0,2,2,0,0,0
16,TB,TB,3,2,0,3,3,0,0,0,2,2,0,2,2,0,0,0
17,NYG,NYG,5,0,0,4,4,1,1,0,4,2,0,3,3,1,1,0
