WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,SEA,DEN,3,2,0,3,3,0,0,0,3,1,0,3,3,0,0,0
2,OAK,DEN,2,2,0,2,2,0,0,0,2,2,0,1,2,0,0,0
3,BAL,BAL,2,0,0,2,2,0,0,0,3,2,0,3,3,0,0,0
4,KC,KC,2,3,0,2,2,0,0,0,3,2,0,3,3,0,0,0
5,NYJ,NYJ,2,1,0,1,1,0,1,0,4,2,0,4,4,0,0,0
6,LAR,DEN,2,2,0,2,2,0,0,0,2,3,0,2,2,0,0,0
7,ARI,DEN,6,1,0,6,6,0,0,0,1,1,0,1,1,0,0,0
8,KC,KC,3,1,0,2,2,0,1,0,4,1,0,3,4,0,0,0
9,DET,DET,2,1,0,2,2,0,0,0,2,2,0,1,2,0,0,0
11,LAC,LAC,3,1,0,2,2,0,1,0,2,3,0,1,2,0,0,0
12,PIT,DEN,3,1,0,3,3,0,0,0,2,1,0,2,2,0,0,0
13,CIN,CIN,3,1,0,3,3,0,0,0,1,1,0,1,1,0,0,0
14,SF,SF,2,0,0,2,2,0,0,0,2,2,0,2,2,0,0,0
15,CLE,DEN,1,3,0,1,1,0,0,0,2,1,0,2,2,0,0,0
16,OAK,OAK,2,0,0,2,2,0,0,0,3,2,0,3,3,0,0,0
