WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,NYJ,DET,2,1,0,2,2,0,0,0,6,2,0,6,6,0,0,0
2,SF,SF,3,2,0,3,3,0,0,0,3,3,0,3,3,0,0,0
3,NE,DET,2,4,0,2,2,0,0,0,1,1,0,1,1,0,0,0
4,DAL,DAL,3,1,0,3,3,0,0,0,2,4,0,2,2,0,0,0
5,GB,DET,4,1,0,4,4,0,0,0,3,1,0,0,1,1,2,0
7,MIA,MIA,3,4,0,2,2,0,1,0,3,0,0,3,3,0,0,0
8,SEA,DET,2,0,0,2,2,0,0,0,4,0,0,4,4,0,0,0
9,MIN,MIN,0,3,0,0,0,0,0,0,3,1,0,3,3,0,0,0
10,CHI,CHI,3,1,0,1,1,0,2,0,5,0,0,2,4,1,1,0
11,CAR,DET,2,2,0,2,2,0,0,0,3,0,0,1,2,0,1,0
12,CHI,DET,2,1,0,1,1,0,1,0,3,1,0,2,2,0,1,0
13,LAR,DET,1,3,0,1,1,0,0,0,3,3,0,3,3,0,0,0
14,ARI,ARI,2,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0
15,BUF,BUF,2,0,0,1,1,0,1,0,2,0,0,2,2,0,0,0
16,MIN,DET,0,3,0,0,0,0,0,0,3,2,0,3,3,0,0,0
17,GB,GB,4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0
