WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,CHI,GB,3,1,0,3,3,0,0,0,2,3,0,2,2,0,0,0
2,MIN,GB,2,5,0,2,2,0,0,0,4,0,0,3,3,1,1,0
3,WAS,WAS,2,1,0,2,2,0,0,0,4,1,0,4,4,0,0,0
4,BUF,GB,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0
5,DET,DET,3,1,0,0,1,1,2,0,4,1,0,4,4,0,0,0
6,SF,SF,3,4,0,3,3,0,0,0,3,3,0,3,3,0,0,0
8,LAR,LAR,3,2,0,3,3,0,0,0,3,2,1,1,1,0,2,0
9,NE,NE,2,1,0,2,2,0,0,0,4,1,0,4,4,0,0,0
10,MIA,GB,4,1,0,4,4,0,0,0,0,4,0,0,0,0,0,0
11,SEA,SEA,3,1,0,3,3,0,0,0,3,2,0,3,3,0,0,0
12,MIN,MIN,2,1,0,2,2,0,0,0,3,1,0,3,3,0,0,0
13,ARI,GB,2,1,0,2,2,0,0,0,2,2,0,2,2,0,0,0
14,ATL,GB,4,2,0,4,4,0,0,0,3,0,0,2,3,0,0,0
15,CHI,CHI,1,3,0,0,0,1,1,0,3,1,0,3,3,0,0,0
16,NYJ,NYJ,4,3,0,3,3,1,1,0,5,1,0,5,5,0,0,0
17,DET,GB,0,0,0,0,0,0,0,0,4,1,0,4,4,0,0,0
