WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,NYG,NYG,2,2,0,2,2,0,0,0,1,3,0,0,0,0,1,0
2,NE,JAX,4,1,0,4,4,0,0,0,2,2,0,2,2,0,0,0
3,TEN,JAX,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
4,NYJ,JAX,3,3,1,2,2,0,1,0,1,2,0,0,0,0,1,0
5,KC,KC,2,0,0,2,2,0,0,0,3,3,0,3,3,0,0,0
6,DAL,DAL,1,0,0,1,1,0,0,0,4,4,0,4,4,0,0,0
7,HOU,JAX,1,0,0,1,1,0,0,0,2,2,0,2,2,0,0,0
8,PHI,LON,1,4,0,0,0,0,1,0,3,1,0,3,3,0,0,0
10,IND,IND,3,2,0,2,3,0,0,0,4,0,0,3,3,1,1,0
11,PIT,JAX,1,3,0,1,1,0,0,0,3,0,0,2,2,0,1,0
12,BUF,BUF,3,0,0,3,3,0,0,0,3,1,0,3,3,0,0,0
13,IND,JAX,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,TEN,TEN,1,0,1,1,1,0,0,0,4,1,0,3,4,0,0,0
15,WAS,JAX,1,2,0,1,1,0,0,0,1,3,0,1,1,0,0,0
16,MIA,MIA,2,1,0,2,2,0,0,0,1,0,0,1,1,0,0,0
