WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,HOU,NE,3,2,0,3,3,0,0,0,2,2,0,2,2,0,0,0
2,JAX,JAX,2,2,0,2,2,0,0,0,4,1,0,4,4,0,0,0
3,DET,DET,1,1,0,1,1,0,0,0,2,4,0,2,2,0,0,0
4,MIA,NE,5,1,0,5,5,0,0,0,1,0,0,1,1,0,0,0
5,IND,NE,5,1,0,5,5,0,0,0,3,1,0,3,3,0,0,0
6,KC,NE,4,5,0,4,4,0,0,0,4,4,0,4,4,0,0,0
7,CHI,CHI,5,1,0,5,5,0,0,0,4,1,0,4,4,0,0,0
8,BUF,BUF,2,4,0,1,1,0,1,0,0,2,0,0,0,0,0,0
9,GB,NE,4,1,0,4,4,0,0,0,2,1,0,2,2,0,0,0
10,TEN,TEN,1,1,0,1,1,0,0,0,4,2,0,4,4,0,0,0
12,NYJ,NYJ,3,2,0,3,3,0,0,0,1,2,0,1,1,0,0,0
13,MIN,NE,3,1,0,3,3,0,0,0,1,1,0,1,1,0,0,0
14,MIA,MIA,4,2,0,3,4,0,0,0,5,0,0,4,4,0,0,0
15,PIT,PIT,1,1,0,1,1,0,0,0,2,1,0,2,2,0,0,0
16,BUF,NE,3,1,0,3,3,0,0,0,1,2,0,0,0,0,1,0
17,NYJ,NE,5,1,0,5,5,0,0,0,0,1,0,0,0,0,0,0
DIV,LAC,NE,5,2,0,5,5,0,0,0,4,0,0,2,2,1,2,0
CON,KC,KC,5,1,0,4,4,0,0,0,4,1,0,4,4,0,0,0
