WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,TB,NO,5,1,0,3,3,2,2,0,6,2,0,6,6,0,0,0
2,CLE,NO,2,2,0,1,1,1,1,0,2,2,0,0,2,0,0,0
3,ATL,ATL,5,3,0,4,4,0,0,0,5,0,0,3,3,2,2,0
4,NYG,NYG,3,4,0,3,3,0,0,0,2,1,0,1,1,1,1,0
5,WAS,NO,6,1,0,4,5,0,1,0,2,2,0,1,1,0,1,0
7,BAL,BAL,3,1,0,3,3,0,0,0,3,1,0,2,3,0,0,0
8,MIN,MIN,3,3,0,3,3,0,0,0,3,0,0,2,3,0,0,0
9,LAR,NO,6,1,0,6,6,0,0,0,4,2,0,3,3,1,1,0
10,CIN,CIN,6,3,0,6,6,0,0,0,2,0,0,2,2,0,0,0
11,PHI,NO,6,2,0,6,6,0,0,0,1,0,0,1,1,0,0,0
12,ATL,NO,4,1,0,4,4,0,0,0,2,1,0,2,2,0,0,0
13,DAL,DAL,1,1,0,1,1,0,0,0,1,2,0,1,1,0,0,0
14,TB,TB,3,2,0,2,2,1,1,0,2,0,0,2,2,0,0,0
15,CAR,CAR,1,2,0,0,0,0,1,0,1,0,0,1,1,0,0,1
