WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,ATL,PHI,2,1,0,1,1,1,1,0,1,2,0,0,1,0,0,0
2,TB,TB,3,0,0,3,3,0,0,0,4,0,0,3,4,0,0,0
3,IND,PHI,2,2,0,2,2,0,0,0,1,3,0,1,1,0,0,0
4,TEN,TEN,2,3,0,2,2,0,0,0,3,2,0,2,2,0,0,0
5,MIN,PHI,2,2,0,1,1,1,1,0,2,3,0,2,2,0,0,0
6,NYG,NYG,4,2,0,4,4,0,0,0,1,2,0,1,1,0,0,0
7,CAR,PHI,2,1,0,2,2,0,0,0,3,0,0,3,3,0,0,0
8,JAX,LON,3,1,0,3,3,0,0,0,1,4,0,0,0,0,1,0
9,DAL,PHI,2,2,0,2,2,0,0,0,3,2,0,3,3,0,0,0
11,NO,NO,1,0,0,1,1,0,0,0,6,2,0,6,6,0,0,0
