WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,DEN,DEN,3,1,0,3,3,0,0,0,3,2,0,3,3,0,0,0
2,CHI,CHI,2,1,0,2,2,0,0,0,3,1,0,3,3,0,0,0
3,DAL,SEA,3,1,0,3,3,0,0,0,1,2,0,1,1,0,0,0
4,ARI,ARI,2,2,0,2,2,0,0,0,2,1,0,2,2,0,0,0
5,LAR,SEA,4,1,0,4,4,0,0,0,4,2,0,3,4,0,0,0
6,OAK,LON,3,2,0,3,3,0,0,0,0,1,0,0,0,0,0,0
8,DET,DET,4,0,0,4,4,0,0,0,2,0,0,2,2,0,0,0
9,LAC,SEA,2,1,0,2,2,0,0,0,4,0,0,1,3,0,1,0
10,LAR,LAR,4,1,0,4,4,0,0,0,4,3,0,3,3,0,1,0
11,GB,SEA,3,2,0,3,3,0,0,0,3,1,0,3,3,0,0,0
12,CAR,CAR,3,3,0,3,3,0,0,0,3,2,0,3,3,0,0,0
13,SF,SEA,6,1,0,4,6,0,0,0,2,1,0,1,1,0,1,0
14,MIN,SEA,2,2,0,1,1,1,1,0,1,0,0,1,1,0,0,0
15,SF,SF,3,1,0,2,3,0,0,0,2,4,0,2,2,0,0,0
16,KC,SEA,5,1,0,5,5,0,0,0,3,3,0,2,2,1,1,0
17,ARI,SEA,3,2,0,3,3,0,0,0,2,3,0,1,1,1,1,0
