WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,NO,NO,6,2,0,6,6,0,0,0,5,1,0,3,3,2,2,0
2,PHI,TB,4,0,0,3,4,0,0,0,3,0,0,3,3,0,0,0
3,PIT,TB,3,2,0,3,3,0,0,0,4,1,0,3,4,0,0,0
4,CHI,CHI,1,1,0,1,1,0,0,0,6,2,0,6,6,0,0,0
6,ATL,ATL,4,1,0,2,3,0,1,0,4,2,0,4,4,0,0,0
7,CLE,TB,3,2,0,2,3,0,0,0,3,0,1,3,3,0,0,0
8,CIN,CIN,4,2,0,2,3,1,1,0,5,1,0,4,5,0,0,0
9,CAR,CAR,4,0,0,4,4,0,0,0,6,0,0,6,6,0,0,0
10,WAS,TB,0,1,0,0,0,0,0,0,1,3,0,1,1,0,0,0
11,NYG,NYG,5,0,0,5,5,0,0,0,5,1,0,5,5,0,0,0
12,SF,TB,3,2,0,3,3,0,0,0,1,1,0,0,1,0,0,0
13,CAR,TB,3,1,0,3,3,0,0,0,2,1,0,2,2,0,0,0
14,NO,TB,2,0,0,2,2,0,0,0,3,2,0,2,2,1,1,0
15,BAL,BAL,1,2,0,0,0,0,1,0,2,2,0,2,2,0,0,0
16,DAL,DAL,2,2,0,2,2,0,0,0,3,2,0,3,3,0,0,0
17,ATL,TB,4,2,0,2,2,0,2,0,4,2,0,4,4,0,0,0
