,Offense,Defense,Overall,Standardized,Quantile,OFF RANK,DEF RANK,OVR RANK
NO,10.284722222222223,-1.604166666666667,11.888888888888888,2.0917056090380197,0.9817675707735875,3,10,1
LAR,10.423611111111112,0.07638888888888928,10.347222222222223,1.8227509375216835,0.965829439187723,2,17,2
KC,12.3125,3.3125,9.000000000000002,1.587718476827227,0.943824993482395,1,27,3
NE,4.423611111111111,-1.4097222222222225,5.833333333333335,1.035271043442319,0.8497288255709186,4,11,4
CHI,3.7708333333333344,-1.7152777777777783,5.486111111111112,0.9746956669746752,0.8351443785325163,6,9,5
PIT,4.25,-1.076388888888889,5.326388888888889,0.9468309937995593,0.8281375471783669,5,15,6
SEA,2.3402777777777786,-2.8680555555555554,5.208333333333335,0.9262353658005607,0.8228381614359785,10,5,7
BAL,-0.951388888888889,-6.006944444444443,5.0555555555555545,0.8995822001547972,0.8158286833765025,17,1,8
LAC,2.444444444444445,-2.3333333333333335,4.777777777777779,0.8511218989806827,0.8026491791173059,9,7,9
HOU,2.7152777777777772,-1.3125000000000002,4.027777777777779,0.7202790858105729,0.7643234105066266,8,13,10
DAL,-2.090277777777778,-4.375000000000001,2.2847222222222223,0.4161906959430027,0.661364766293254,20,3,11
DEN,-2.1319444444444438,-4.381944444444444,2.2500000000000004,0.4101331582962384,0.6591458649156109,21,2,12
IND,3.569444444444444,2.9791666666666656,0.5902777777777777,0.12058285878090264,0.5479892767636013,7,26,13
MIN,-1.145833333333333,-1.3194444444444446,0.1736111111111116,0.04789240701973061,0.5190990046155026,18,12,14
PHI,-2.180555555555556,-1.2708333333333333,-0.9097222222222223,-0.14110276755931703,0.44389437866607434,22,14,15
CAR,0.6805555555555559,1.625,-0.9444444444444441,-0.14716030520608128,0.44150274563706904,13,22,16
TEN,-3.381944444444443,-2.270833333333333,-1.111111111111111,-0.17623648591055016,0.4300540788749917,25,8,17
GB,-0.25694444444444403,0.8749999999999996,-1.1319444444444438,-0.17987100849860868,0.4286269179121275,15,20,18
ATL,0.7569444444444443,2.340277777777778,-1.583333333333334,-0.25861899790654536,0.39796461180372844,12,23,19
WAS,-4.187499999999999,-2.506944444444444,-1.6805555555555554,-0.2755801033174854,0.3914352966806892,27,6,20
CLE,-2.7847222222222214,-0.6874999999999997,-2.097222222222222,-0.3482705550786575,0.3638185024614724,23,16,21
JAX,-6.055555555555556,-3.9375,-2.118055555555556,-0.3519050776667162,0.3624547255258883,30,4,22
DET,-1.9236111111111105,1.3263888888888893,-3.2499999999999987,-0.5493808049512335,0.2913720720744335,19,21,23
NYG,-0.875,2.4027777777777777,-3.277777777777778,-0.5542268350686453,0.2897118076265679,16,24,24
TB,1.5138888888888884,4.805555555555556,-3.2916666666666665,-0.556649850127351,0.2888833436487512,11,31,25
CIN,-0.13194444444444375,4.333333333333333,-4.465277777777778,-0.7613946225879858,0.22321069917999825,14,30,26
NYJ,-2.805555555555556,3.6527777777777772,-6.458333333333332,-1.109097283512259,0.1336941083287182,24,28,27
MIA,-4.006944444444444,2.604166666666666,-6.611111111111111,-1.1357504491580221,0.12803051010571548,26,25,28
BUF,-6.881944444444443,0.8263888888888887,-7.708333333333332,-1.3271686387957753,0.0922264520021785,31,19,29
SF,-4.631944444444444,3.8402777777777772,-8.472222222222221,-1.4604344670245912,0.0720853529442611,28,29,30
ARI,-9.590277777777777,0.548611111111111,-10.138888888888888,-1.7511962740692795,0.03995605352916276,32,18,31
OAK,-5.201388888888888,5.027777777777778,-10.229166666666666,-1.766945871950867,0.03861864684860802,29,32,32
