,Attack,Defense,Overall,Standardized,Quantile
BAL,6.666666666666667,-5.222222222222222,11.888888888888891,1.944077127782497,0.9740569245192389
LAR,6.444444444444444,-5.111111111111111,11.555555555555555,1.8898553368855997,0.9706113448567986
CIN,10.333333333333334,0.33333333333333215,10.000000000000002,1.6368203127000804,0.9491659899171382
NYJ,3.555555555555556,-3.444444444444444,7.0,1.1488241946280064,0.8746857596652122
MIA,4.0,-2.444444444444444,6.444444444444444,1.058454543133178,0.8550758678660855
KC,9.11111111111111,4.333333333333335,4.777777777777776,0.7873455886486924,0.7844602053480567
TB,6.444444444444444,2.444444444444445,3.9999999999999987,0.6608280765559327,0.7456387124985624
PIT,2.444444444444444,-1.1111111111111118,3.555555555555556,0.5885323553600702,0.7219124885036885
CAR,-0.22222222222222263,-3.6666666666666674,3.4444444444444446,0.5704584250611046,0.7158165937225739
IND,0.44444444444444464,-2.555555555555556,3.0,0.49816270386524175,0.6908153161701849
LAC,3.7777777777777772,0.9999999999999988,2.7777777777777786,0.4620148432673105,0.6779646619526425
CLE,-7.888888888888889,-10.222222222222221,2.333333333333332,0.38971912207144743,0.6516278725032004
TEN,-2.5555555555555554,-4.555555555555556,2.0000000000000004,0.33549733117455066,0.6313750212015634
PHI,-6.888888888888888,-8.555555555555555,1.6666666666666679,0.2812755402776537,0.6107504653319515
JAX,-2.0000000000000013,-3.2222222222222214,1.2222222222222203,0.20897981908179045,0.5827680035855551
NO,8.555555555555555,7.444444444444444,1.1111111111111118,0.1909058887828252,0.5757003367770452
ATL,2.444444444444444,2.3333333333333335,0.11111111111111072,0.028240516092133815,0.5112648385346013
OAK,-0.22222222222222143,0.5555555555555559,-0.7777777777777773,-0.11635092629959154,0.4536872131471152
SEA,1.8888888888888893,2.6666666666666674,-0.777777777777778,-0.11635092629959165,0.45368721314711513
DEN,-1.444444444444444,-0.44444444444444525,-0.9999999999999988,-0.15249878689752278,0.43939677358154494
WAS,-3.111111111111112,-1.9999999999999998,-1.1111111111111118,-0.17057271719648878,0.43227987600836376
DAL,-6.0,-3.555555555555556,-2.444444444444444,-0.3874598807840769,0.3492078901860669
GB,4.333333333333334,7.0,-2.666666666666666,-0.4236077413820082,0.33592595431912153
NYG,-0.6666666666666673,2.888888888888889,-3.555555555555556,-0.5681991837737338,0.28494986282065604
CHI,-3.555555555555556,1.111111111111111,-4.666666666666667,-0.7489384867633907,0.22694714096763646
ARI,-8.333333333333332,-0.7777777777777773,-7.555555555555556,-1.2188606745364987,0.11144853890078366
SF,-5.666666666666667,2.2222222222222214,-7.888888888888888,-1.2730824654333954,0.10149439020488016
HOU,-1.3333333333333346,6.777777777777779,-8.111111111111112,-1.3092303260313272,0.09522817129563577
DET,-1.555555555555556,7.0,-8.555555555555555,-1.3815260472271897,0.08355863735367924
NE,-3.888888888888889,5.0,-8.888888888888888,-1.4357478381240865,0.07553705370783136
BUF,-7.333333333333333,1.5555555555555547,-8.888888888888888,-1.4357478381240865,0.07553705370783136
MIN,-8.777777777777779,3.2222222222222228,-12.0,-1.941817886495126,0.02607957537933491
