,Offense,Defense,Overall,Standardized,Quantile
LAR,9.16,-1.9199999999999995,11.08,2.211877707764246,0.986512442030073
BAL,1.3999999999999992,-7.520000000000001,8.920000000000002,1.7809031638044315,0.9625358641536326
KC,9.959999999999999,2.0400000000000005,7.919999999999999,1.5813779119711833,0.9431041726231978
CHI,2.0625,-5.55,7.6125,1.5200238970324598,0.935747515138429
JAX,-1.8400000000000005,-7.6800000000000015,5.84,1.166365388158028,0.8782666268670422
CIN,6.25,1.5199999999999996,4.73,0.9448923586231233,0.8276430834579347
NO,8.54,4.209999999999999,4.33,0.8650822578898241,0.8065031790172952
PIT,2.369999999999999,-1.1600000000000001,3.53,0.7054620564232259,0.7597386315436638
CLE,-1.3600000000000005,-4.8,3.439999999999999,0.6875047837582334,0.7541176563745042
NE,2.5200000000000005,-0.7600000000000001,3.2800000000000002,0.655580743464914,0.743953040563631
SEA,2.47,0.28999999999999987,2.1800000000000006,0.4361029664483417,0.6686189875042126
NYJ,1.2400000000000007,-0.6,1.8400000000000005,0.3682643808250374,0.6436619454570819
CAR,0.14999999999999947,-1.0500000000000007,1.2000000000000002,0.24056821965175876,0.5950551080465504
LAC,1.7999999999999994,0.8000000000000004,0.9999999999999989,0.20066316928510897,0.579519019726864
GB,-0.039999999999999855,1.0599999999999998,-1.0999999999999996,-0.21833985956471094,0.41358216004930326
TB,5.0874999999999995,6.512499999999999,-1.4249999999999998,-0.28318556641051645,0.38851729601663393
WAS,-4.45,-2.1500000000000004,-2.3,-0.45777016176460816,0.3235587874476013
DET,2.2399999999999998,4.64,-2.400000000000001,-0.47772268694793313,0.3164237973679101
ATL,1.7699999999999996,4.239999999999999,-2.4699999999999998,-0.4916894545762603,0.3114694471233159
TEN,-4.5600000000000005,-2.08,-2.48,-0.4936847070945928,0.31076443361857337
MIA,-3.3200000000000003,-0.7200000000000003,-2.6,-0.5176277373145826,0.30235901267336285
NYG,-1.5899999999999999,1.0800000000000005,-2.6700000000000004,-0.5315945049429099,0.2975034357347093
IND,0.6099999999999994,3.289999999999999,-2.6799999999999997,-0.5335897574612423,0.29681269810456545
HOU,0.7599999999999995,3.6799999999999997,-2.9200000000000004,-0.5814758179012218,0.2804599057946652
DEN,-2.9600000000000004,0.08000000000000043,-3.040000000000001,-0.6054188481212117,0.2724503653071515
DAL,-7.470000000000001,-4.4,-3.0700000000000003,-0.611404605676209,0.2704658771641606
MIN,-0.6000000000000008,3.5599999999999996,-4.16,-0.828887130174449,0.20358413926292845
PHI,-7.07,-2.8400000000000007,-4.2299999999999995,-0.8428538978027762,0.1996550799895821
ARI,-8.920000000000002,-3.34,-5.58,-1.1122129877776608,0.13302329249079103
OAK,-2.16,4.88,-7.040000000000001,-1.4035198554542025,0.08023093767268896
SF,-3.1599999999999993,4.6,-7.76,-1.5471780367741408,0.0609101602777673
BUF,-8.919999999999998,0.24000000000000057,-9.16,-1.8265133893406875,0.03388648314469697
