,Offense,Defense,Overall,Standardized,Quantile,OFF RANK,DEF RANK,OVR RANK
KC,11.53646968046478,2.6358705519244734,8.900599128540303,1.658028574660163,0.9513441505197421,1,24,1
NO,6.355755265068992,-2.4676152868554833,8.823370551924475,1.6440519108351117,0.9499172599609118,3,6,2
LAR,8.498774509803921,0.23204883805373988,8.26672567175018,1.5433115022835768,0.9386223929263,2,20,3
NE,5.379130355846042,-1.672476397966594,7.051606753812636,1.3234018604426279,0.9071491132828627,4,10,4
CHI,1.4254133025759326,-4.833645713187236,6.259059015763167,1.1799682535392488,0.8809935792263356,12,2,5
BAL,-0.5208333333333331,-5.919526143790849,5.398692810457516,1.0242610044232843,0.8471439942970216,17,1,6
LAC,2.4304193899782143,-2.1149237472766886,4.545343137254903,0.8698235923899026,0.8078015918004197,8,9,7
PIT,2.5565257352941186,-1.436683006535948,3.993208741830066,0.7698994817917119,0.779320239330256,7,12,8
SEA,2.61082276047674,-1.2370001922337566,3.8478229527104975,0.7435878703583925,0.7714370781754436,6,14,9
IND,3.208809912854031,-0.3436138344226581,3.552423747276689,0.6901271493473905,0.7549428843518501,5,18,10
HOU,2.1115196078431375,-1.3639705882352942,3.4754901960784315,0.6762038785960164,0.75054439481645,9,13,11
PHI,-0.30412581699346397,-2.2982480029048657,1.9941221859114018,0.40810904134057746,0.6584031887514569,15,8,12
DAL,-1.148057371096587,-2.445760711692084,1.2977033405954974,0.28207263734429006,0.6110560930512382,20,7,13
MIN,-0.680734272875817,-1.566993464052288,0.886259191176471,0.20761034875621737,0.5822333883557926,18,11,14
TEN,-2.692299836601307,-3.031173406862745,0.33887357026143805,0.10854566128626421,0.5432185690071168,23,4,15
CAR,-0.41122855392156854,-0.4252706290849675,0.014042075163398948,0.0497583469821498,0.5198425200833321,16,17,16
ATL,1.8394607843137254,3.053359885620915,-1.213899101307189,-0.17247183998402849,0.43153329902105386,10,25,17
CLE,-1.6577052696078427,-0.26822916666666674,-1.3894761029411762,-0.20424739295655034,0.4190800888223783,22,19,18
DEN,-4.2146139705882355,-2.507735906862745,-1.70687806372549,-0.2616901259148739,0.3967801768531675,27,5,19
GB,0.03255208333333326,2.3884037990196076,-2.355851715686274,-0.3791399995528747,0.3522919522004472,14,23,20
NYG,0.9538654003267972,3.3632557189542482,-2.409390318627451,-0.3888293022405842,0.3487012115627328,13,27,21
DET,-2.9175347222222223,-0.4470996732026147,-2.470435049019607,-0.39987704793744316,0.3446235390763518,24,16,22
TB,1.4511335784313721,4.860574959150326,-3.4094413807189543,-0.56981642016027,0.28440110869042456,11,30,23
JAX,-7.0187397875816995,-3.4117902369281046,-3.606949550653595,-0.605561029407824,0.2724031435216695,31,3,24
CIN,-0.6826235702614376,3.6874489379084974,-4.370072508169934,-0.7436694020046941,0.22853825249051613,19,28,25
WAS,-5.446869893790849,-0.5845843545751634,-4.862285539215685,-0.8327490713019527,0.20249313146328946,28,15,26
BUF,-5.494434232026144,0.5641850490196076,-6.05861928104575,-1.0492590118554537,0.14702946258381322,29,21,27
SF,-2.999080882352941,3.1767769607843137,-6.175857843137256,-1.0704765979031232,0.14220241861204636,25,26,28
NYJ,-1.4289470996732025,5.324193218954249,-6.753140318627451,-1.1749519546374099,0.12000696903871844,21,32,29
MIA,-3.038322099673203,5.207005718954248,-8.24532781862745,-1.4450048801909954,0.07422825743071,26,31,30
OAK,-5.619127859477124,4.448861315359477,-10.067989174836603,-1.7748662625827847,0.03795998603293443,30,29,31
ARI,-9.98736213235294,1.9111519607843137,-11.898514093137253,-2.106150775746063,0.01759562870714883,32,22,32
