WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,NO,NO,4,0,0,4,4,0,0,0,3,3,0,3,3,0,0,0
2,JAX,HOU,1,2,0,1,1,0,0,0,1,2,0,0,1,0,0,0
3,LAC,LAC,4,0,0,3,4,0,0,0,0,2,2,0,2,2,0,0
4,CAR,HOU,1,1,0,1,1,0,0,0,1,3,0,1,1,0,0,0
5,ATL,HOU,7,2,0,5,7,0,0,0,4,1,0,3,3,1,1,0
6,KC,KC,4,1,0,2,3,1,1,0,3,1,0,3,3,0,0,0
7,IND,IND,2,3,0,2,2,0,0,0,4,0,1,4,4,0,0,0
8,OAK,HOU,3,2,0,3,3,0,0,0,3,1,0,3,3,0,0,0
9,JAX,LON,2,4,0,2,2,0,0,0,0,1,0,0,0,0,0,0
11,BAL,BAL,1,0,0,1,1,0,0,0,5,2,0,5,5,0,0,0
12,IND,HOU,2,2,0,2,2,0,0,0,2,1,0,2,2,0,0,0
13,NE,HOU,4,0,0,4,4,0,0,0,3,1,0,1,2,0,1,0
14,DEN,HOU,3,1,0,3,3,0,0,0,5,1,0,5,5,0,0,0
15,TEN,TEN,3,1,0,3,3,0,0,0,3,0,0,3,3,0,0,0
