WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,LAC,LAC,3,1,0,1,2,1,1,0,3,3,0,3,3,0,0,0
2,TEN,TEN,3,0,0,1,3,0,0,0,2,1,0,2,2,0,0,0
3,ATL,IND,3,2,0,3,3,0,0,0,3,1,0,3,3,0,0,0
4,OAK,IND,3,1,0,3,3,0,0,0,4,1,0,4,4,0,0,0
5,KC,KC,1,4,0,1,1,0,0,0,1,2,0,1,1,0,0,0
6,HOU,IND,4,0,1,4,4,0,0,0,2,3,0,2,2,0,0,0
7,DEN,IND,1,3,0,0,1,0,0,0,1,2,0,1,1,0,0,0
9,PIT,PIT,3,1,1,1,2,0,1,0,2,4,0,2,2,0,0,0
10,MIA,IND,1,2,0,0,1,0,0,0,1,3,0,1,1,0,0,0
11,JAX,IND,4,1,0,4,4,0,0,0,2,0,0,1,1,0,1,0
