WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,JAX,JAX,4,3,0,4,4,0,0,0,3,2,0,2,2,0,1,0
2,OAK,OAK,4,0,0,4,4,0,0,0,1,1,0,1,1,0,0,0
3,BAL,KC,4,2,0,3,4,0,0,0,4,1,0,1,1,0,3,0
4,DET,DET,4,2,0,4,4,0,0,0,3,3,0,3,3,0,0,0
5,IND,KC,1,2,0,1,1,0,0,0,1,4,0,1,1,0,0,0
6,HOU,KC,3,1,0,3,3,0,0,0,4,1,0,2,3,1,1,0
7,DEN,DEN,3,3,0,3,3,0,0,0,1,0,0,0,0,0,1,0
8,GB,KC,3,1,0,3,3,0,0,0,4,1,0,4,4,0,0,0
9,MIN,KC,2,4,0,2,2,0,0,0,3,1,0,2,3,0,0,0
10,TEN,TEN,3,4,0,2,3,0,0,0,5,0,0,3,4,1,1,0
11,LAC,MEX,3,1,0,3,3,0,0,0,1,3,0,0,0,0,1,0
12,OAK,KC,5,1,0,5,5,0,0,1,1,1,0,0,1,0,0,0
14,NE,NE,2,3,0,2,2,0,0,0,2,1,0,1,1,0,1,0
15,DEN,KC,2,3,0,2,2,0,0,0,0,1,0,0,0,0,0,0
16,CHI,CHI,3,2,0,2,3,0,0,0,0,1,0,0,0,0,0,0
17,LAC,KC,4,1,0,4,4,0,0,0,3,0,0,3,3,0,0,0
