WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,IND,LAC,3,3,0,3,3,0,0,0,3,1,0,1,2,1,1,0
2,DET,DET,1,0,0,1,1,0,0,0,2,0,0,1,2,0,0,0
3,HOU,LAC,2,2,0,2,2,0,0,0,4,0,0,3,4,0,0,0
4,MIA,MIA,3,3,0,3,3,0,0,0,1,1,0,1,1,0,0,0
5,DEN,LAC,1,2,0,1,1,0,0,0,2,2,0,2,2,0,0,0
6,PIT,LAC,2,1,0,2,2,0,0,0,3,1,0,3,3,0,0,0
7,TEN,TEN,2,2,0,2,2,0,0,0,3,1,0,2,3,0,0,0
8,CHI,CHI,2,1,0,2,2,0,0,0,1,3,0,1,1,0,0,0
9,GB,LAC,2,4,0,2,2,0,0,0,1,1,0,0,0,1,1,0
10,OAK,OAK,3,1,0,3,3,0,0,0,3,2,0,2,3,0,0,0
11,KC,MEX,1,3,0,0,0,0,1,0,3,1,0,3,3,0,0,0
