WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,ATL,MIN,4,0,0,4,4,0,0,0,2,0,0,0,0,0,2,0
2,GB,GB,2,1,0,1,2,0,0,0,3,0,0,3,3,0,0,0
3,OAK,MIN,4,2,0,4,4,0,0,0,2,0,0,2,2,0,0,0
4,CHI,CHI,1,0,0,0,0,0,1,0,1,3,0,1,1,0,0,0
5,NYG,NYG,2,4,1,2,2,0,0,0,1,1,0,1,1,0,0,0
6,PHI,MIN,5,1,0,5,5,0,0,0,2,2,0,2,2,0,0,0
7,DET,DET,6,0,0,6,6,0,0,0,4,1,0,3,3,0,1,0
8,WAS,MIN,1,4,0,1,1,0,0,0,0,3,0,0,0,0,0,0
9,KC,KC,3,1,0,2,3,0,0,0,2,4,0,2,2,0,0,0
10,DAL,DAL,3,2,0,2,2,1,1,0,3,1,0,3,3,0,0,0
11,DEN,MIN,4,0,0,3,3,0,1,0,2,3,0,2,2,0,0,0
13,SEA,SEA,4,1,0,3,4,0,0,0,4,3,0,4,4,0,0,0
14,DET,MIN,2,2,0,2,2,0,0,0,1,0,0,1,1,0,0,0
15,LAC,LAC,4,4,0,3,4,0,0,0,1,1,0,1,1,0,0,0
16,GB,MIN,1,1,0,1,1,0,0,0,2,3,0,0,1,1,1,0
17,CHI,MIN,1,4,0,1,1,0,0,0,1,4,1,1,1,0,0,0
WC,NO,NO,3,2,0,3,3,0,0,0,2,2,0,2,2,0,0,0
DIV,SF,SF,1,1,0,1,1,0,0,0,3,2,0,3,3,0,0,0
