WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,DAL,DAL,2,1,0,2,2,0,0,0,5,0,0,5,5,0,0,0
2,BUF,NYG,2,0,0,2,2,0,0,0,4,0,0,4,4,0,0,0
3,TB,TB,4,1,0,3,3,1,1,0,3,4,0,1,3,0,0,0
4,WAS,NYG,3,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0
5,MIN,NYG,1,1,0,1,1,0,0,0,2,4,1,2,2,0,0,0
6,NE,NE,2,0,0,2,2,0,0,0,5,0,0,5,5,0,0,0
7,ARI,NYG,3,0,0,3,3,0,0,0,3,2,0,3,3,0,0,0
8,DET,DET,4,0,0,2,3,0,1,0,4,1,0,4,4,0,0,0
9,DAL,NYG,1,4,0,0,1,0,0,0,4,3,0,4,4,0,0,0
10,NYJ,NYJ,4,0,0,1,2,1,2,0,4,2,0,4,4,0,0,0
12,CHI,CHI,2,0,0,2,2,0,0,0,2,2,0,1,2,0,0,0
13,GB,NYG,1,2,0,1,1,0,0,0,4,1,0,4,4,0,0,0
