WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,BUF,NYJ,2,1,0,1,2,0,0,0,3,1,0,3,3,0,0,0
2,CLE,NYJ,0,1,0,0,0,0,0,0,2,3,0,2,2,0,0,0
3,NE,NE,2,0,0,2,2,0,0,0,4,1,0,3,4,0,0,0
5,PHI,PHI,1,0,0,0,0,0,1,0,4,1,0,4,4,0,0,0
6,DAL,NYJ,3,1,0,3,3,0,0,0,2,3,0,1,1,0,1,0
7,NE,NYJ,0,0,0,0,0,0,0,0,4,1,1,4,4,0,0,0
8,JAX,JAX,2,0,0,1,1,1,1,0,3,3,0,2,3,0,0,0
9,MIA,MIA,1,3,1,1,1,0,0,0,3,1,1,3,3,0,0,0
10,NYG,NYJ,4,2,0,4,4,0,0,0,4,0,0,1,2,1,2,0
11,WAS,WAS,5,0,0,4,5,0,0,0,2,1,0,0,0,1,2,0
12,OAK,NYJ,4,2,0,4,4,0,0,0,0,1,0,0,0,0,0,0
13,CIN,CIN,0,2,0,0,0,0,0,0,2,2,1,2,2,0,0,0
14,MIA,NYJ,2,3,0,1,2,0,0,0,0,7,0,0,0,0,0,0
