WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,DEN,OAK,3,1,0,3,3,0,0,0,1,3,0,1,1,0,0,0
2,KC,OAK,1,1,0,1,1,0,0,0,4,0,0,4,4,0,0,0
3,MIN,MIN,2,0,0,2,2,0,0,0,4,2,0,4,4,0,0,0
4,IND,IND,4,1,0,4,4,0,0,0,3,1,0,3,3,0,0,0
5,CHI,TOT,3,1,0,3,3,0,0,0,3,0,0,3,3,0,0,0
6,GB,GB,3,1,0,3,3,0,0,0,6,0,0,6,6,0,0,0
8,HOU,HOU,3,1,0,3,3,0,0,0,3,2,0,3,3,0,0,0
9,DET,OAK,4,1,0,4,4,0,0,0,3,1,0,3,3,0,0,0
10,LAC,OAK,3,2,0,2,3,0,0,0,3,1,0,3,3,0,0,0
11,CIN,OAK,2,1,0,2,2,0,0,0,1,1,0,1,1,0,0,0
12,NYJ,NYJ,0,1,0,0,0,0,0,0,4,2,0,4,4,0,0,0
13,KC,KC,1,1,0,0,1,0,0,0,5,1,0,5,5,0,0,1
14,TEN,OAK,3,0,0,3,3,0,0,0,6,0,0,6,6,0,0,0
