WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,WAS,PHI,4,1,0,3,3,1,1,0,3,2,0,3,3,0,0,0
2,ATL,ATL,2,2,0,0,0,1,2,0,3,1,0,3,3,0,0,0
3,DET,PHI,3,1,0,3,3,0,0,0,3,2,0,3,3,0,0,0
4,GB,GB,5,0,0,4,4,0,1,0,3,2,0,3,3,0,0,0
5,NYJ,PHI,4,1,0,4,4,0,0,0,1,0,0,0,0,0,1,0
6,MIN,MIN,2,2,0,2,2,0,0,0,5,1,0,5,5,0,0,0
7,DAL,DAL,1,1,0,1,1,0,0,0,4,3,0,4,4,0,0,0
8,BUF,BUF,4,1,0,2,3,1,1,0,2,0,0,1,2,0,0,0
9,CHI,PHI,2,3,0,1,2,0,0,0,2,0,0,2,2,0,0,0
11,NE,PHI,1,1,0,1,1,0,0,0,1,3,0,0,0,0,1,0
12,SEA,PHI,1,1,0,0,1,0,0,0,2,1,0,2,2,0,0,0
13,MIA,MIA,3,3,0,2,2,1,1,0,5,1,0,2,3,1,2,0
14,NYG,PHI,3,1,0,2,2,0,0,0,2,1,0,2,2,0,0,0
15,WAS,WAS,5,1,0,4,4,0,0,0,3,2,0,3,3,0,0,0
16,DAL,PHI,2,1,0,2,2,0,0,0,0,3,0,0,0,0,0,0
17,NYG,NYG,4,2,0,4,4,0,0,0,2,1,0,2,2,0,0,0
WC,SEA,PHI,0,3,0,0,0,0,0,0,2,1,0,2,2,0,0,0
