WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,TB,TB,3,3,0,2,2,1,1,0,2,1,0,2,2,0,0,0
2,CIN,CIN,5,2,0,5,5,0,0,0,2,1,0,2,2,0,0,0
3,PIT,SF,3,1,0,3,3,0,0,0,2,2,0,2,2,0,0,0
5,CLE,SF,4,1,0,4,4,0,0,0,0,1,0,0,0,0,0,0
6,LAR,LAR,2,2,0,2,2,0,0,0,1,0,0,1,1,0,0,0
7,WAS,WAS,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CAR,SF,7,1,0,6,6,0,1,0,1,1,1,0,0,1,1,0
9,ARI,ARI,4,0,0,4,4,0,0,0,3,1,0,2,2,1,1,0
10,SEA,SF,2,3,0,1,1,1,1,0,3,2,0,3,3,0,0,0
11,ARI,SF,5,1,0,3,3,0,1,0,3,2,0,2,3,0,0,0
12,GB,SF,4,3,0,4,4,0,0,0,1,0,0,0,0,1,1,0
13,BAL,BAL,2,1,0,2,2,0,0,0,2,2,0,2,2,0,0,0
14,NO,NO,6,2,0,6,6,0,0,0,6,2,0,4,4,0,2,0
15,ATL,SF,2,3,0,1,2,0,0,0,4,1,0,2,2,0,1,0
