WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,SF,TB,2,1,0,2,2,0,0,0,3,3,0,2,2,1,1,0
2,CAR,CAR,2,2,0,2,2,0,0,0,0,4,1,0,0,0,0,0
3,NYG,TB,3,4,0,1,3,0,0,0,4,1,0,3,3,1,1,0
4,LAR,LAR,7,2,0,7,7,0,0,0,5,2,0,4,4,0,1,0
5,NO,NO,3,1,0,3,3,0,0,0,4,1,0,4,4,0,0,0
6,TB,TOT,3,1,0,1,1,2,2,0,4,3,0,4,4,0,0,0
8,TEN,TEN,2,3,0,0,0,1,2,0,3,2,0,3,3,0,0,0
9,SEA,SEA,4,2,0,4,4,0,0,0,5,2,0,2,3,1,1,0
10,ARI,TB,3,3,0,3,3,0,0,0,3,2,0,3,3,0,0,0
11,NO,TB,2,1,0,2,2,0,0,0,4,2,0,4,4,0,0,0
12,ATL,ATL,5,1,0,2,5,0,0,0,2,3,0,1,1,0,1,0
13,JAX,JAX,3,2,0,2,2,1,1,0,1,1,0,0,0,1,1,0
14,IND,TB,5,1,0,5,5,0,0,0,4,2,0,3,3,1,1,0
15,DET,DET,5,1,0,5,5,0,0,0,2,1,0,2,2,0,0,0
