WEEK,OPP,VENUE,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,D2CF,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA,D2CA
1,CLE,CLE,4,5,0,4,4,0,0,0,2,0,0,1,2,0,0,0
2,IND,TEN,2,1,0,2,2,0,0,0,3,0,0,1,3,0,0,0
3,JAX,JAX,1,0,0,1,1,0,0,0,2,2,0,2,2,0,0,0
4,ATL,ATL,3,1,0,3,3,0,0,0,1,1,0,1,1,0,0,0
5,BUF,TEN,1,0,0,1,1,0,0,0,2,0,0,2,2,0,0,0
6,DEN,DEN,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0
7,LAC,TEN,3,1,0,2,3,0,0,0,2,2,0,2,2,0,0,0
8,TB,TEN,3,2,0,3,3,0,0,0,2,3,0,0,0,1,2,0
9,CAR,CAR,3,0,0,2,2,0,1,0,4,1,0,3,4,0,0,0
10,KC,TEN,5,0,0,3,4,1,1,0,3,4,0,2,3,0,0,0
12,JAX,TEN,6,0,0,6,6,0,0,0,2,2,0,2,2,0,0,0
13,IND,IND,4,1,0,4,4,0,0,0,2,1,0,2,2,0,0,0
14,OAK,OAK,6,0,0,6,6,0,0,0,3,0,0,3,3,0,0,0
15,HOU,TEN,3,0,0,3,3,0,0,0,3,1,0,3,3,0,0,0
16,NO,TEN,4,0,0,4,4,0,0,0,5,1,0,5,5,0,0,0
17,HOU,HOU,5,0,0,5,5,0,0,0,2,0,0,2,2,0,0,0
WC,NE,NE,3,0,0,2,2,0,1,0,1,2,0,1,1,0,0,0
DIV,BAL,BAL,4,0,0,4,4,0,0,0,1,2,0,0,1,0,0,0
