,Offense,Defense,Overall,Standardized,Quantile,OFF RANK,DEF RANK,OVR RANK
BAL,9.474378528501186,-3.847610483822012,13.321989012323195,2.114877357663872,0.9827797992722808,1,6,1
SF,6.472381082062455,-4.5850580973129995,11.057439179375457,1.7610529919873243,0.9608852828568536,3,3,2
KC,7.875805049115164,-2.1787017926078813,10.054506841723045,1.6043499276416648,0.9456815292164096,2,11,3
NE,2.327608055606143,-7.16534885367976,9.492956909285903,1.5166106137394189,0.9353174879627238,7,1,4
NO,4.0018919848641215,-2.3694530443756454,6.371345029239767,1.028874672902126,0.8482307143748622,5,10,5
DAL,4.114430147058823,-1.371655433006536,5.486085580065359,0.8905573974303905,0.813416668455978,4,14,6
MIN,2.1595860566448803,-3.1679602396514164,5.327546296296297,0.865786442648007,0.806696357379111,9,7,7
TEN,2.1791150670794632,-2.9217836257309946,5.100898692810458,0.830373910157565,0.7968362941073748,8,8,8
LAR,1.5175398284313724,-1.6265063316993464,3.1440461601307184,0.5246256788648631,0.7000782839871637,12,13,9
GB,1.0128676470588236,-2.110112563543936,3.12298021060276,0.5213342316550652,0.6989330207964132,13,12,10
SEA,1.8117737835875094,-0.654434458968773,2.4662082425562817,0.41871696017480187,0.6622885004307048,11,15,11
BUF,-3.1284665310912807,-4.664627977093829,1.5361614460025497,0.2734018900216409,0.6077278499567683,24,2,12
HOU,2.1312970607346253,1.5602461013645224,0.5710509593701025,0.12260829706457628,0.5487913580429943,10,21,13
PHI,0.056636870434448046,-0.11663783160322982,0.17327470203767775,0.06045778490356412,0.5241044814596068,14,17,14
TB,3.9836023499312,3.9625419246646025,0.02106042526659735,0.03667508021680667,0.5146279608109375,6,27,15
PIT,-4.843367034313725,-4.09530739379085,-0.7480596405228759,-0.08349600873327932,0.4667285754408488,28,5,16
CHI,-5.119510825163399,-4.353451797385622,-0.7660590277777777,-0.08630832122266367,0.46561066189138417,30,4,17
ATL,-0.705480574905401,0.23797084623323017,-0.9434514211386307,-0.11402497825689949,0.45460899639550123,17,18,18
LAC,-1.5956460160818715,-0.18160635964912308,-1.4140396564327484,-0.18755199074531484,0.42561393204448916,21,16,19
DEN,-4.611730574905401,-2.644152315531476,-1.9675782593739248,-0.274039575259276,0.3920271043404662,27,9,20
ARI,0.05269607843137236,2.1313061683006533,-2.078610089869281,-0.2913877326825938,0.38537739779970687,15,24,21
IND,-1.487171321379429,0.7626808673030616,-2.2498521886824907,-0.31814343755080404,0.3751880677878542,20,19,22
CLE,-0.5436137448400412,1.9939195798933609,-2.537533324733402,-0.36309214832738496,0.3582680248495492,16,23,23
DET,-0.9460273692810459,3.962494893790849,-4.908522263071895,-0.7335470815454915,0.23161241156198564,18,26,24
NYJ,-5.259650735294118,1.0351562500000002,-6.294806985294118,-0.9501470014725736,0.17101878186085756,31,20,25
JAX,-4.955921321379429,1.6181496173030616,-6.574070938682491,-0.9937805703728197,0.16016485366591815,29,22,26
OAK,-2.3222085160818713,4.400424890350877,-6.722633406432749,-1.0169926985186837,0.15457845142535548,23,28,27
NYG,-1.2980238970588236,6.053666258169935,-7.351690155228758,-1.1152796082960568,0.13236531048856126,19,31,28
CIN,-4.480085784313725,3.5101613562091503,-7.990247140522875,-1.215050881589663,0.11217334284519287,26,25,29
CAR,-3.7347136222910224,5.877038452442379,-9.6117520747334,-1.4684027603785774,0.07099742611600134,25,30,30
WAS,-5.99811070261438,4.570593341503267,-10.568704044117649,-1.617921626611502,0.05283974444720589,32,29,31
MIA,-1.9666819852941182,9.390625,-11.357306985294118,-1.741136815508104,0.04082979971358856,22,32,32
