,Offense,Defense,Overall,Standardized,Quantile,OFF RANK,DEF RANK,OVR RANK
BAL,10.69140625,-4.22265625,14.9140625,2.3318011197081385,0.9901444219450407,1,5,1
NE,3.15625,-7.38671875,10.54296875,1.6510587630805864,0.9506367117523568,7,1,2
SF,5.7109375,-4.15234375,9.86328125,1.5452060641948009,0.9388517859948013,3,6,3
KC,6.609375,-2.9296875,9.5390625,1.4947131101285929,0.9325053343542247,2,7,4
NO,4.203125,-1.84375,6.046875,0.9508492434395566,0.8291595446412159,4,11,5
DAL,4.19140625,-1.671875,5.86328125,0.9222568477635111,0.8218026915341005,5,13,6
MIN,2.79296875,-2.8515625,5.64453125,0.8881893124899249,0.8127805366390473,8,8,7
GB,0.87890625,-2.7265625,3.60546875,0.5706312158325683,0.7158751730710243,14,9,8
TEN,1.65234375,-1.671875,3.32421875,0.5268300990522431,0.7008442104881326,10,13,9
BUF,-2.3046875,-5.44140625,3.13671875,0.49762935453202645,0.6906273451413856,24,2,10
LAR,1.3125,-1.74609375,3.05859375,0.4854623776486028,0.6863258030314652,12,12,11
SEA,2.0703125,-0.30078125,2.37109375,0.3783929810744749,0.6474306592188919,9,15,12
PHI,1.4609375,0.19921875,1.26171875,0.20562190932985933,0.5814568689769759,11,19,13
HOU,1.09375,0.0078125,1.0859375,0.17824621134215618,0.5707351903190538,13,16,14
TB,3.91015625,3.90625,0.00390625,0.009733581506738904,0.5038830758872181,6,26,15
CHI,-4.8984375,-4.42578125,-0.47265625,-0.06448497748214524,0.47429203422357336,30,3,16
PIT,-4.8359375,-4.328125,-0.5078125,-0.06996011707968587,0.4721127018906148,29,4,17
ATL,-0.578125,0.078125,-0.65625,-0.09307737315819076,0.4629210464962098,17,18,18
LAC,-1.46875,0.01171875,-1.48046875,-0.22143897927831005,0.4123753222914681,21,17,19
DEN,-4.25390625,-2.46875,-1.78515625,-0.2688901891236622,0.39400709348641144,26,10,20
IND,-1.2734375,0.89453125,-2.16796875,-0.328508375852438,0.3712636561816304,20,20,21
CLE,-0.54296875,1.73828125,-2.28125,-0.3461504923334022,0.364614809383732,16,22,22
ARI,-0.45703125,2.52734375,-2.984375,-0.4556532842842149,0.3243196600345155,15,24,23
DET,-0.73046875,3.9453125,-4.67578125,-0.7190683338103365,0.23604940856764733,18,27,24
NYJ,-5.109375,1.1484375,-6.2578125,-0.9654496156996649,0.16715983026633857,31,21,25
JAX,-4.76953125,1.75,-6.51953125,-1.006208988259134,0.15715752468538446,28,23,26
OAK,-2.03515625,4.6171875,-6.65234375,-1.0268928489609543,0.1522354609724456,23,29,27
NYG,-1.2265625,5.80859375,-7.03515625,-1.08651103568973,0.13862648057785626,19,30,28
CIN,-4.47265625,3.265625,-7.73828125,-1.1960138276405428,0.11584558152456276,27,25,29
CAR,-3.734375,5.8359375,-9.5703125,-1.481329435556827,0.06925940415022198,25,31,30
WAS,-6.109375,4.29296875,-10.40234375,-1.6109077393652884,0.053599916452267096,32,28,31
MIA,-1.87109375,9.078125,-10.94921875,-1.696076577549254,0.044935689371538134,22,32,32
