,Offense,Defense,Overall,Standardized,Quantile,OFF RANK,DEF RANK,OVR RANK
BAL,10.73046875,-4.20703125,14.9375,2.3327663695576573,0.9901697946727678,1,5,1
NE,3.1875,-7.296875,10.484375,1.6373286966246736,0.9492190960244642,7,1,2
SF,5.828125,-4.19921875,10.02734375,1.565954830192078,0.9413204039107974,3,6,3
KC,6.5859375,-2.953125,9.5390625,1.4897006993880226,0.9318485246771357,2,7,4
NO,4.21484375,-2.59375,6.80859375,1.063287599931746,0.8561742266145171,5,10,5
DAL,4.265625,-1.609375,5.875,0.9174897018343924,0.8205569565699387,4,14,6
MIN,2.79296875,-2.83984375,5.6328125,0.879667652955581,0.8104803112192047,8,8,7
GB,0.87890625,-2.7265625,3.60546875,0.5630605018571437,0.713303156853979,14,9,8
TEN,1.65234375,-1.6328125,3.28515625,0.5130377920496835,0.6960375574751602,10,13,9
LAR,1.4296875,-1.78125,3.2109375,0.5014471641674672,0.6919717731350173,11,12,10
BUF,-2.875,-5.4296875,2.5546875,0.3989616123668169,0.655039255091336,24,2,11
SEA,2.1875,-0.3125,2.5,0.3904211497167627,0.6518874244539064,9,15,12
PHI,1.11328125,0.2265625,0.88671875,0.13847750154016428,0.5550684752656405,13,18,13
HOU,1.140625,0.3828125,0.7578125,0.1183464110078937,0.5471034074551249,12,19,14
TB,4.015625,3.90625,0.109375,0.01708092530010837,0.5068139719504989,6,26,15
CHI,-4.8515625,-4.42578125,-0.42578125,-0.06649360206113615,0.47349242562702215,30,3,16
PIT,-4.7734375,-4.32421875,-0.44921875,-0.0701538003397308,0.47203562283271394,29,4,17
ATL,-0.66015625,0.078125,-0.73828125,-0.11529624577573148,0.45410515697840576,17,17,18
LAC,-1.3046875,0.01171875,-1.31640625,-0.20558113664773286,0.41855905678065125,21,16,19
DEN,-4.27734375,-2.453125,-1.82421875,-0.2848854326839503,0.3878659583884342,26,11,20
ARI,-0.03515625,1.9765625,-2.01171875,-0.3141670189127075,0.37669709525852463,15,24,21
IND,-1.2734375,0.89453125,-2.16796875,-0.3385683407700052,0.3674674679048968,20,21,22
CLE,-0.48046875,1.75390625,-2.234375,-0.34893890255935667,0.3635675892669036,16,23,23
DET,-0.6953125,3.921875,-4.6171875,-0.7210590608831461,0.23543658888483732,18,27,24
NYJ,-5.109375,0.80078125,-5.91015625,-0.9229799992522844,0.17800881415715292,31,20,25
JAX,-4.7421875,1.75,-6.4921875,-1.0138749231707183,0.15532121928865328,28,22,26
OAK,-2.03125,4.59375,-6.625,-1.0346160467494212,0.1504241284843465,23,29,27
NYG,-1.1640625,5.84765625,-7.01171875,-1.0950093183462328,0.13675627705893056,19,31,28
CIN,-4.41015625,3.28125,-7.69140625,-1.2011550684254777,0.11484552746680476,27,25,29
CAR,-3.62890625,5.82421875,-9.453125,-1.476279972366509,0.069934374166214,25,30,30
WAS,-5.89453125,4.37890625,-10.2734375,-1.6043869121173218,0.05431439704682958,32,28,31
MIA,-1.81640625,9.15625,-10.97265625,-1.7135828274287288,0.04330268481135007,22,32,32
